Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Norway,161.30,71.58,121.20,169.83,162.61,69.06
Denmark,138.91,83.47,114.13,116.60,159.09,74.09
Netherlands,123.64,61.66,95.94,78.44,114.49,68.55
France,123.49,67.23,98.35,101.00,132.86,70.52
Switzerland,121.42,92.37,108.44,132.22,117.70,137.93
Belgium,120.00,71.15,98.17,109.41,110.93,88.32
Ireland,119.76,71.10,98.02,148.01,118.07,99.42
Italy,115.41,63.70,92.30,94.49,113.34,50.98
Finland,111.13,50.67,84.11,100.20,108.14,106.55
United Kingdom,107.40,65.20,88.54,94.40,96.91,87.63
Austria,107.28,59.60,85.97,96.41,87.46,89.59
Germany,105.53,38.37,75.51,93.60,85.34,106.83
Sweden,104.15,32.38,72.08,98.09,89.62,113.44
Australia,100.49,52.74,79.15,101.90,82.16,114.38
Cyprus,94.05,36.51,68.34,83.19,91.27,97.66
Spain,91.28,45.85,70.98,67.37,82.18,52.14
Israel,89.70,55.42,74.38,93.59,78.23,51.37
South Korea,88.60,42.14,67.84,124.03,79.40,85.25
United States,88.46,49.62,71.10,85.02,71.13,114.80
Japan,86.70,55.18,72.61,100.55,66.87,97.83
Canada,85.99,52.05,70.82,96.05,64.73,96.05
Portugal,84.67,32.51,61.36,49.12,64.80,48.52
United Arab Emirates,83.77,91.00,87.00,64.17,108.52,70.10
Croatia,80.66,33.70,59.68,75.38,63.58,45.89
Greece,77.01,32.37,57.06,76.15,78.66,61.27
Slovenia,75.99,45.12,62.19,63.69,62.55,54.44
Brazil,73.83,31.34,54.84,54.69,48.47,59.25
Czech Republic,72.08,41.58,58.45,62.91,58.42,54.35
Latvia,68.18,31.83,51.93,37.36,50.86,38.35
Chile,67.49,19.68,46.13,55.35,41.57,53.34
Singapore,65.94,71.85,68.58,100.33,56.41,76.79
Jordan,65.64,26.39,48.10,88.21,65.15,22.11
Hong Kong,64.71,58.47,61.92,93.26,50.89,53.18
Hungary,64.42,21.12,45.07,53.27,47.98,32.47
Serbia,62.38,24.26,45.34,49.33,60.55,35.21
Montenegro,61.13,11.80,39.08,53.83,59.19,29.73
Albania,60.48,13.20,39.35,51.28,52.31,27.41
Bulgaria,59.82,24.90,44.21,51.32,48.06,31.49
South Africa,59.44,35.32,48.66,50.89,43.29,57.81
Russia,59.02,52.24,55.99,39.59,64.08,36.33
Venezuela,58.93,46.95,53.58,26.93,65.16,36.23
Turkey,56.87,23.66,42.03,53.66,39.92,62.17
Bahrain,55.00,73.46,63.25,68.32,68.45,56.04
Colombia,54.08,14.35,36.33,53.32,34.73,32.49
Iran,53.87,70.18,61.16,59.65,31.19,38.03
Paraguay,53.59,11.22,34.65,40.51,31.92,19.46
Argentina,53.21,21.18,38.90,34.51,48.02,40.60
Poland,52.62,30.67,42.81,42.56,44.95,52.20
Bosnia And Herzegovina,51.19,7.86,31.83,53.60,38.84,31.29
Lithuania,50.06,28.70,40.51,57.37,36.29,43.27
Mexico,49.69,22.93,37.73,45.96,41.02,51.43
Romania,45.70,27.45,37.55,41.38,41.19,24.32
Ecuador,45.67,19.06,33.78,47.42,28.26,37.86
Belarus,43.04,27.94,36.29,43.72,44.55,12.82
China,40.05,26.12,33.83,64.96,29.54,36.79
Indonesia,38.56,21.16,30.78,45.64,35.16,20.40
Bolivia,38.01,19.41,29.70,26.40,32.87,43.06
Malaysia,37.55,13.87,26.97,50.96,31.39,61.73
Thailand,36.56,21.56,29.86,51.31,28.24,30.76
Pakistan,32.38,9.67,22.23,35.28,30.87,37.36
Ukraine,31.37,22.99,27.62,23.70,36.16,39.99
India,28.71,9.58,20.16,30.99,23.86,43.55
