Country,Pollution Index,Exp Pollution Index
Afghanistan,93.45,168.83
Myanmar,92.54,168.16
Mongolia,92.45,170.05
Ghana,89.20,160.00
Lebanon,88.37,157.80
Nigeria,87.63,156.63
Vietnam,86.47,154.89
Monaco,86.33,157.83
Bangladesh,86.21,154.51
Egypt,85.65,152.79
Nepal,84.77,150.98
Peru,84.13,150.32
China,80.77,146.39
North Macedonia,80.23,146.17
Cambodia,79.50,140.79
Ethiopia,79.19,139.57
India,78.87,139.31
Iraq,78.83,139.07
Azerbaijan,78.12,137.71
Dominican Republic,77.90,137.15
Jordan,77.78,137.15
Albania,77.77,136.72
Iran,77.45,142.02
Malta,77.07,135.35
Kenya,76.60,135.91
Kazakhstan,75.15,137.00
Thailand,75.07,131.92
Zimbabwe,74.61,132.35
Bolivia,74.60,130.80
Philippines,74.28,130.61
Pakistan,74.25,129.91
Venezuela,73.76,130.51
Bahrain,71.43,128.76
Georgia,71.09,128.31
Guatemala,70.65,122.99
Morocco,70.64,123.38
Tunisia,69.53,121.21
Jamaica,68.92,120.35
Kuwait,68.69,121.61
Syria,68.42,118.23
Trinidad And Tobago,68.31,118.43
Hong Kong,67.69,120.55
Turkey,67.35,117.28
Indonesia,66.56,114.81
Mexico,66.10,114.14
Chile,65.78,121.09
Algeria,65.75,115.20
Bulgaria,65.33,118.68
Saudi Arabia,65.09,114.09
Ukraine,65.08,112.71
Taiwan,63.35,110.37
Malaysia,63.18,108.21
Panama,63.09,111.37
Tanzania,62.93,110.70
Colombia,62.83,113.45
Russia,62.79,108.08
South Korea,62.48,114.41
Bosnia And Herzegovina,62.33,110.57
Qatar,61.06,106.93
Serbia,60.32,104.77
Armenia,60.23,108.79
Sri Lanka,59.14,101.17
Romania,58.42,99.69
South Africa,57.30,97.90
Israel,57.25,100.95
Ecuador,57.00,97.19
Mauritius,55.88,95.58
Italy,55.63,94.51
Brazil,54.98,93.96
Poland,54.46,97.05
Cyprus,53.55,90.51
Belgium,52.94,90.05
Greece,52.55,91.80
United Arab Emirates,51.15,86.98
Argentina,50.67,86.36
Puerto Rico,49.93,85.74
Hungary,48.29,83.58
Costa Rica,46.97,81.09
Montenegro,45.14,76.62
Uruguay,44.84,79.76
Belarus,43.63,72.24
France,43.56,72.66
United Kingdom,40.56,67.05
Czech Republic,40.23,68.29
Spain,39.99,65.48
Slovakia,39.66,66.56
Japan,39.59,64.06
Oman,37.74,60.80
United States,36.88,60.96
Ireland,33.99,56.48
Latvia,33.73,54.92
Singapore,33.48,56.91
Portugal,30.89,49.68
Croatia,30.46,50.22
Germany,29.03,46.68
Lithuania,28.80,46.76
Canada,27.83,45.33
Netherlands,27.41,44.83
Luxembourg,24.28,36.60
Slovenia,24.06,42.51
Australia,23.46,37.50
New Zealand,23.40,39.90
Switzerland,22.39,36.03
Austria,22.19,36.63
Denmark,21.33,32.87
Norway,20.35,32.66
Estonia,19.81,33.12
Sweden,18.09,28.34
Iceland,16.21,28.12
Finland,11.55,19.66
