Country,Traffic Index,Time Index(in minutes),Time Exp. Index,Inefficiency Index,CO2 Emission Index
Nigeria,308.03,61.08,17169.05,521.62,8664.11
Sri Lanka,293.36,59.01,14627.68,495.15,8308.20
Kenya,274.71,56.65,12039.30,290.75,8332.78
Bangladesh,255.21,56.73,12120.25,320.18,4969.07
Egypt,240.72,49.78,6207.28,295.00,9021.61
Iran,220.43,48.01,5086.37,240.39,7325.43
Peru,214.86,48.33,5274.72,263.59,6032.61
India,207.52,46.99,4499.49,243.01,6062.42
Philippines,198.84,44.63,3314.83,248.96,6538.48
Colombia,198.41,47.49,4781.38,213.61,4509.33
Jordan,196.77,42.03,2263.90,222.67,8507.33
Turkey,195.21,44.65,3322.85,213.33,6133.12
Indonesia,194.61,43.11,2670.23,244.32,7087.87
South Africa,192.03,39.43,1456.58,243.28,9768.47
Russia,186.58,45.30,3629.46,197.02,4488.22
Lebanon,177.71,37.38,972.28,197.27,9044.34
Mexico,177.05,39.39,1445.66,244.77,7054.06
Brazil,176.71,41.70,2148.37,201.35,5545.94
Argentina,173.16,43.08,2658.68,185.34,4212.80
United Arab Emirates,173.12,36.85,865.76,256.25,8251.19
Thailand,170.60,38.23,1156.49,211.31,7026.57
Malaysia,169.14,37.03,901.00,189.81,7800.49
Panama,168.93,36.48,797.19,199.57,8116.68
Pakistan,163.76,38.56,1234.86,187.73,5830.96
China,161.88,41.81,2188.41,175.22,3605.88
Kuwait,158.89,34.44,481.38,187.16,7891.12
Ecuador,158.24,37.55,1006.27,145.76,5912.67
United States,151.18,32.89,307.30,236.15,7291.28
Uruguay,151.17,39.89,1582.88,156.55,3478.87
Israel,149.78,35.91,698.68,163.28,5573.94
Ireland,148.67,37.68,1034.08,175.21,4303.28
Singapore,148.61,41.31,2016.11,150.58,2512.97
Ukraine,147.92,38.65,1257.31,135.50,3865.09
Australia,146.52,34.73,520.25,201.30,5593.02
Belgium,145.28,36.15,738.21,187.86,4658.45
South Korea,142.96,39.57,1494.20,152.02,2745.98
Canada,140.47,33.87,411.67,176.12,5333.48
Hong Kong,139.51,41.46,2067.98,145.73,1640.09
Qatar,137.98,29.72,97.52,141.84,7477.62
Morocco,137.39,36.89,873.53,148.00,3455.60
Italy,134.36,34.42,479.39,156.98,4291.28
Greece,133.93,33.84,407.41,145.34,4603.84
United Kingdom,133.87,34.53,493.24,162.59,4144.54
Saudi Arabia,132.59,28.61,61.37,167.95,6920.80
Japan,130.83,39.15,1382.26,143.52,1808.27
Romania,129.94,34.75,522.55,136.86,3675.95
Chile,129.40,35.44,623.58,116.44,3386.98
New Zealand,128.70,31.10,167.56,162.33,5171.43
Hungary,126.14,35.78,676.49,132.50,2792.38
Georgia,125.73,36.02,716.70,150.57,2567.36
France,125.06,34.76,523.78,128.67,3143.79
Latvia,123.88,32.89,307.60,132.01,3839.23
Luxembourg,123.35,32.55,276.29,125.11,3967.79
Oman,121.55,22.80,22.80,294.46,5899.88
Portugal,113.51,30.00,109.26,124.46,3832.56
Taiwan,113.45,31.93,224.98,133.94,3018.95
Kazakhstan,112.99,31.08,166.25,88.66,3551.84
Belarus,112.84,30.68,142.84,105.46,3592.87
Poland,111.28,31.72,208.91,102.31,3024.42
Vietnam,111.12,30.17,117.12,119.84,3502.26
Cyprus,109.30,23.95,23.95,156.25,4618.10
Serbia,107.99,30.43,129.68,120.38,3047.37
Spain,105.67,29.10,75.47,121.64,3232.31
Croatia,104.31,29.11,75.66,105.54,3161.51
Germany,104.24,30.98,160.31,126.19,2436.56
Sweden,103.64,30.49,132.90,146.97,2450.03
Slovenia,103.55,27.30,36.92,150.04,3355.82
Netherlands,102.85,29.43,86.67,177.21,2580.52
Bulgaria,102.44,29.39,85.30,92.35,2937.43
Slovakia,102.06,29.11,75.66,176.90,2596.61
Lithuania,95.75,26.08,27.30,84.77,3051.40
Switzerland,94.13,29.09,75.06,103.83,2133.17
North Macedonia,93.80,27.61,41.24,102.21,2465.61
Finland,93.17,29.90,105.18,80.20,1940.83
Bosnia And Herzegovina,92.47,26.67,30.68,71.91,2682.12
Iceland,92.18,20.10,20.10,82.59,3422.39
Czech Republic,92.08,29.65,94.93,73.39,1946.51
Norway,91.37,26.99,33.51,112.47,2302.48
Denmark,86.60,28.85,67.88,114.58,1506.20
Estonia,85.28,24.53,24.53,104.67,2076.37
Austria,81.76,26.27,28.20,77.57,1711.44
